Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
MiniMax(D=1) vs Random,X,-0.34,15,3,32,2.85433022181193,0,0,0,1,MiniMax,Random,MiniMax vs Random,50
MiniMax(D=1) vs Random,O,0.34,32,3,15,0.0592859586079915,0,0,0,1,MiniMax,Random,MiniMax vs Random,50
MiniMax(D=2) vs Random,X,0.78,42,5,3,16.558008432388306,0,0,0,2,MiniMax,Random,MiniMax vs Random,50
MiniMax(D=2) vs Random,O,-0.78,3,5,42,0.0290926297505696,0,0,0,2,MiniMax,Random,MiniMax vs Random,50
MiniMax(D=3) vs Random,X,0.9,47,1,2,117.6007397969564,0,0,0,3,MiniMax,Random,MiniMax vs Random,50
MiniMax(D=3) vs Random,O,-0.9,2,1,47,0.0719308853149414,0,0,0,3,MiniMax,Random,MiniMax vs Random,50
Random vs MiniMax(D=1),X,0.86,46,1,3,0.0315809249877929,0,0,0,1,Random,MiniMax,Random vs MiniMax,50
Random vs MiniMax(D=1),O,-0.86,3,1,46,2.567808230717977,0,0,0,1,Random,MiniMax,Random vs MiniMax,50
Random vs MiniMax(D=2),X,-0.26,5,27,18,0.0401034355163574,0,0,0,2,Random,MiniMax,Random vs MiniMax,50
Random vs MiniMax(D=2),O,0.26,18,27,5,12.711365620295204,0,0,0,2,Random,MiniMax,Random vs MiniMax,50
Random vs MiniMax(D=3),X,-0.64,5,8,37,0.0417160987854003,0,0,0,3,Random,MiniMax,Random vs MiniMax,50
Random vs MiniMax(D=3),O,0.64,37,8,5,71.27466837565103,0,0,0,3,Random,MiniMax,Random vs MiniMax,50
